"Product/Service Name","Quantity on hand","Item type","Category","SKU","Purchase cost includes tax","Sales price includes tax","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"159-01 Barbados Turtle Mini",15,"Inventory","Souvenirs:Stickers","159-01","No","No",3.87,2.21,"Sales of Product Income","Cost of sales","Inventory Asset","159-01 Barbados Turtle Mini","159-01 Barbados Turtle Mini",20
"159-03 Barbados Turtle Large",-3,"Inventory","Souvenirs:Stickers","159-03","No","No",4.83,2.59,"Sales of Product Income","Cost of sales","Inventory Asset","159-03 Barbados Turtle Large","159-03 Barbados Turtle Large",20
"2X3 Bottom Bay Magnet",434,"Inventory","Souvenirs:Magnets","40865","No","No",4.83,2.94,"Sales of Product Income","Cost of sales","Inventory Asset","2X3 Bottom Bay Magnet - 40865","2X3 Bottom Bay Magnet",100
"2X3 Carlisle Bay Magnet",51,"Inventory","Souvenirs:Magnets","56187","No","No",4.83,2.67,"Sales of Product Income","Cost of sales","Inventory Asset","2X3 Carlisle Bay Magnet - 56187","2X3 Carlisle Bay Magnet",20
"2X3 Crane Beach Magnet",528,"Inventory","Souvenirs:Magnets","40868","No","No",4.83,3.18,"Sales of Product Income","Cost of sales","Inventory Asset","2X3 Crane Beach Magnet - 40868","2X3 Crane Beach Magnet",50
"2X3 Foul Bay Magnet",239,"Inventory","Souvenirs:Magnets","40866","No","No",4.83,3.24,"Sales of Product Income","Cost of sales","Inventory Asset","2X3 Foul Bay Magnet - 40866","2X3 Foul Bay Magnet",50
"2X3 Miami Beach Magnet",123,"Inventory","Souvenirs:Magnets","40867","No","No",4.83,3.19,"Sales of Product Income","Cost of sales","Inventory Asset","2X3 Miami Beach Magnet - 40867","2X3 Miami Beach Magnet",50
"2X3 Sea Turtle 1 Magnet",189,"Inventory","Souvenirs:Magnets","44536","No","No",4.83,3,"Sales of Product Income","Cost of sales","Inventory Asset","2X3 Sea Turtle 1 Magnet - 44536","2X3 Sea Turtle 1 Magnet",20
"2X3 Sea Turtle 2 Magnet",72,"Inventory","Souvenirs:Magnets","55926","No","No",4.83,1.72,"Sales of Product Income","Cost of sales","Inventory Asset","2X3 Sea Turtle 2 Magnet - 55926","2X3 Sea Turtle 2 Magnet",20
"2oz Frosted Glass Bottle",191,"Inventory","Souvenirs:Sand & Shells","SSG-11","No","No",7.27,4.58,"Sales of Product Income","Cost of sales","Inventory Asset","2oz Frosted Glass Bottle - SSG-11","2oz Frosted Glass Bottle",10
"3D 18oz Lenticular Aquatic Cup With Lid",56,"Inventory","Souvenirs","Q1-3DAQU","No","No",6.78,4.66,"Sales of Product Income","Cost of sales","Inventory Asset","3D 18oz Lenticular Aquatic Cup With Lid","3D 18oz Lenticular Aquatic Cup With Lid",20
"3D Painted Cypraea Tigris",23,"Inventory","Souvenirs","I-1507","No","No",10.19,6,"Sales of Product Income","Cost of sales","Inventory Asset","3D Painted Cypraea Tigris","3D Painted Cypraea Tigris",10
"47192 Coral Fish Magnet",81,"Inventory","Souvenirs:3D Magnets","47192-3DM","No","No",5.81,3.26,"Sales of Product Income","Cost of sales","Inventory Asset","Coral Fish Magnet - 47192","Coral Fish Magnet",10
"47266 Sea Turtle Swim Magnet",47,"Inventory","Souvenirs:3D Magnets","47266-3DM","No","No",5.81,3.26,"Sales of Product Income","Cost of sales","Inventory Asset","Sea Turtle Swim Magnet - 47266","47266 Sea Turtle Swim Magnet",10
"Barbados Baby Sea Turtle Patch",398,"Inventory","Souvenirs:Patches","401856","No","No",4.83,2.85,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Baby Sea Turtle Patch - 401856","Barbados Baby Sea Turtle Peel and Stick Patch",10
"Barbados Banner Palm Surf",83,"Inventory","Souvenirs:Stickers","106-01","No","No",3.87,2.41,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Banner Palm Surf - 106-01","Barbados Banner Palm Surf",20
"Barbados Blue Flip Flops",31,"Inventory","Souvenirs:Stickers","112-01","No","No",3.87,2.41,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Blue Flip Flops - 112-01","Barbados Blue Flip Flops",20
"Barbados Blue Turtle",18,"Inventory","Souvenirs:Stickers","102-01","No","No",3.87,2.41,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Blue Turtle - 102-01","Barbados Blue Turtle",20
"Barbados Bus Stop Patch",400,"Inventory","Souvenirs:Patches","8516","No","No",4.83,2.44,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Bus Stop Patch - 8516","Barbados Bus Stop Iron On Patch",10
"Barbados Dive Map and Reef Creatures ID Guide",37,"Inventory","Souvenirs:Guides","8601","No","No",8.25,4.82,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Dive Map and Reef Creatures ID Guide - 8601","Barbados Dive Map and Reef Creatures ID Guide",10
"Barbados Flag 3.5"" x 2.5""",16,"Inventory","Souvenirs:Stickers","40844C","No","No",2.41,1.18,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flag 3.5"" x 2.5"" - 40844C","Barbados Flag 3.5"" x 2.5""",50
"Barbados Flag 5.25"" x 3.75""",142,"Inventory","Souvenirs:Stickers","40844B","No","No",2.41,1.46,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flag 5.25"" x 3.75"" - 40844B","Barbados Flag 5.25"" x 3.75""",20
"Barbados Flag Car Magnet",23,"Inventory","Souvenirs:Magnets","40873A","No","No",4.35,2.94,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flag Car Magnet - 40873A","Barbados Flag Car Magnet",20
"Barbados Flag Luggage Tag",223,"Inventory","Souvenirs:Luggage Tags","40871","No","No",3.38,2.06,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flag Luggage Tag - 40871","Barbados Flag Luggage Tag",50
"Barbados Flag Mini",21,"Inventory","Souvenirs:Stickers","20082","No","No",3.87,1.18,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flag Mini - 20082","Barbados Flag Mini",20
"Barbados Flag Patch",2,"Inventory","Souvenirs:Patches","8514","No","No",4.83,2.44,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flag Patch - 8514","Barbados Flag Iron On Patch",10
"Barbados Flip Flop Palm",59,"Inventory","Souvenirs:Stickers","097-03","No","No",4.83,2.5,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flip Flop Palm - 097-03","Barbados Flip Flop Palm",20
"Barbados Flip Flop Palm stickers small",92,"Inventory","Souvenirs:Stickers","097-01","Yes","No",3.87,2.41,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flip Flop Palm stickers small - 097-01","Barbados Flip Flop Palm stickers small",20
"Barbados Green Sea Turtle",44,"Inventory","Souvenirs:Stickers","103-01","No","No",3.87,2.41,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Green Sea Turtle - 103-01","Barbados Green Sea Turtle - 103-01",20
"Barbados Green Sea Turtle Large",0,"Inventory","Souvenirs:Stickers","103-03","No","No",4.83,2.59,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Green Sea Turtle Large - 103-03","Barbados Green Sea Turtle Large",20
"Barbados Map Patch",48,"Inventory","Souvenirs:Patches","8515","No","No",4.83,2.44,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Map Patch - 8515","Barbados Map Iron On Patch",10
"Barbados Map Sticker",174,"Inventory","Souvenirs:Stickers","52425","No","No",2.41,1.77,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Map Sticker - 52425","Barbados Map Sticker",20
"Barbados Mini Fish and Reef Creatures ID Guide - 4 x 6",5,"Inventory","Souvenirs:Guides","8602","No","No",5.8,1.77,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Mini Fish and Reef Creatures ID Guide - 4 x 6 - 8602","Barbados Mini Fish and Reef Creatures ID Guide - 4 x 6",10
"Barbados Old Fashion Confectionary Box",9060,"Inventory","Souvenirs:Confectionery","Box-BOFC","No","No",,0.58,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Old Fashion Confectionary Box","Barbados Old Fashion Confectionary Box",1000
"Barbados Old Fashioned Confectionery",0,"Inventory","Souvenirs:Confectionery","Barbados Old Fashioned Confectionery","No","No",11.64,7.65,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Old Fashioned Confectionery","Barbados Old Fashioned Confectionery",0
"Barbados One Love Heart",137,"Inventory","Souvenirs:Stickers","140-01","No","No",3.87,1.66,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados One Love Heart - 140-01","Barbados One Love Heart",20
"Barbados Palms Sunset",38,"Inventory","Souvenirs:Stickers","120-01","No","No",3.87,2.41,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Palms Sunset - 120-01","Barbados Palms Sunset",20
"Barbados Photo/Turtle Place Mat",66,"Inventory","Souvenirs:Place Mats","44490","No","No",6.3,4.06,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Photo/Turtle Place Mat - 44490","Barbados Photo/Turtle Place Mat",20
"Barbados Playing Cards",508,"Inventory","Souvenirs:Playing Cards","Pl Cards 5436","No","No",5.32,2.97,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Playing Cards - 5436","Barbados Playing Cards",500
"Barbados Sea Turtle Patch",299,"Inventory","Souvenirs:Patches","401854","No","No",4.83,2.85,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Sea Turtle Patch - 401854","Barbados Sea Turtle Peel and Stick Patch",50
"Barbados Surfboards",119,"Inventory","Souvenirs:Stickers","176-01","No","No",3.87,2.41,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Surfboards - 176-01","Barbados Surfboards",20
"Barbados Triple Hibiscus",49,"Inventory","Souvenirs:Stickers","108-03","No","No",4.83,2.5,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Triple Hibiscus - 108-03","Barbados Triple Hibiscus",20
"Barbados Triple Hibiscus small sticker",7,"Inventory","Souvenirs:Stickers","108-01","Yes","No",3.87,2.41,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Triple Hibiscus small sticker - 108-01","Barbados Triple Hibiscus small sticker",20
"Barbados Turtle In Sea Mini",29,"Inventory","Souvenirs:Stickers","094-01","No","No",3.87,2.41,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Turtle In Sea Mini - 094-01","Barbados Turtle In Sea Mini",20
"Barbados Turtle Sticker",64,"Inventory","Souvenirs:Stickers","52426","No","No",2.41,1.13,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Turtle Sticker - 52426","Barbados Turtle Sticker",20
"Beach 'N' Bag",26,"Inventory","Souvenirs:Sand & Shells","SSB-1","No","No",5.32,3.29,"Sales of Product Income","Cost of sales","Inventory Asset","Beach 'N' Bag - SSB-1","Beach 'N' Bag",10
"Book Of Pirates",301,"Inventory","Souvenirs:Books","Pbook","No","No",6.3,3.72,"Sales of Product Income","Cost of sales","Inventory Asset","Book Of Pirates","Book Of Pirates",100
"Bottom Bay Key Chain",152,"Inventory","Souvenirs:Key Chains","40862","No","No",4.35,2.42,"Sales of Product Income","Cost of sales","Inventory Asset","Bottom Bay Key Chain - 40862","Bottom Bay Key Chain",50
"Box Wood Blue Stripe",4,"Inventory","Souvenirs:Boxes - Wooden","13639","No","No",9.7,5.95,"Sales of Product Income","Cost of sales","Inventory Asset","Box Wood Blue Stripe - 13639","Box Wood Blue Stripe",10
"Box Wood Seaglass Blue",0,"Inventory","Souvenirs:Boxes - Wooden","12214","No","No",9.7,5.29,"Sales of Product Income","Cost of sales","Inventory Asset","Box Wood Seaglass Blue - 12214","Box Wood Seaglass Blue",10
"Box Wood With Shell & Starfish",4,"Inventory","Souvenirs:Boxes - Wooden","15400","No","No",9.7,5.95,"Sales of Product Income","Cost of sales","Inventory Asset","Wood Box With Shell & Starfish - 15400","Wood Box With Shell & Starfish",10
"Car Sticker Barbados Flag 7.0"" x 2.5""",57,"Inventory","Souvenirs:Stickers","42151","No","No",2.41,1.55,"Sales of Product Income","Cost of sales","Inventory Asset","Car Sticker Barbados Flag 7.0"" x 2.5"" - 42151","Car Sticker Barbados Flag 7.0"" x 2.5""",20
"Caribbean Colouring Book",121,"Inventory","Souvenirs:Books","Colour Book","No","No",6.78,3.67,"Sales of Product Income","Cost of sales","Inventory Asset","Caribbean Colouring Book","Caribbean Colouring Book",20
"Caribbean Golden Map Magnet Note Pad",68,"Inventory","Souvenirs:Books","NPMCAR 200","No","No",4.83,2.7,"Sales of Product Income","Cost of sales","Inventory Asset","Caribbean Golden Map Magnet Note Pad","Caribbean Golden Map Magnet Note Pad",20
"Caribbean Green Magnet Note Pad",58,"Inventory","Souvenirs:Books","NPMCAR 300","No","No",4.83,2.72,"Sales of Product Income","Cost of sales","Inventory Asset","Caribbean Green Magnet Note Pad","Caribbean Green Magnet Note Pad",20
"Caribbean Map Playing Cards",120,"Inventory","Souvenirs:Playing Cards","Pl Cards 1700","No","No",5.32,2.69,"Sales of Product Income","Cost of sales","Inventory Asset","Caribbean Map Playing Cards - 1700","Caribbean Map Playing Cards",50
"Caribbean Playing Cards",127,"Inventory","Souvenirs:Playing Cards","Pl Cards 300","No","No",5.32,2.83,"Sales of Product Income","Cost of sales","Inventory Asset","Caribbean Playing Cards - 300","Caribbean Playing Cards",0
"Carlisle Bay Key Chain",17,"Inventory","Souvenirs:Key Chains","56187","No","No",4.35,1.29,"Sales of Product Income","Cost of sales","Inventory Asset","Carlisle Bay Key Chain - 56187","Carlisle Bay Key Chain",20
"Clown Chaos Magnet",54,"Inventory","Souvenirs:3D Magnets","47026-3DM","No","No",5.81,3.3,"Sales of Product Income","Cost of sales","Inventory Asset","Clown Chaos Magnet - 47026","Clown Chaos Magnet",10
"Coconut Tree Sticker",60,"Inventory","Souvenirs:Stickers","52427","No","No",2.41,1.13,"Sales of Product Income","Cost of sales","Inventory Asset","Coconut Tree Sticker - 52427","Coconut Tree Sticker",20
"Colour Pencil In Tube",36,"Inventory","Souvenirs:Pencils and Pens","90059C-CPLT","No","No",4.35,2.51,"Sales of Product Income","Cost of sales","Inventory Asset","Colour Pencil In Tube - 90059C-CPLT","Colour Pencil In Tube",10
"Colourful Coral Magnet",38,"Inventory","Souvenirs:3D Magnets","92246C-3DM","No","No",5.81,4.09,"Sales of Product Income","Cost of sales","Inventory Asset","Colourful Coral Magnet - 92246C","Colourful Coral Magnet",10
"Coral Fish 3D Bookmark",28,"Inventory","Souvenirs:3D Bookmarks","47192-3DB","No","No",6.3,3.26,"Sales of Product Income","Cost of sales","Inventory Asset","Coral Fish 3D Bookmark - 47192","Coral Fish 3D Bookmark",10
"Crane Beach Key Chain",220,"Inventory","Souvenirs:Key Chains","60123","No","No",4.35,2,"Sales of Product Income","Cost of sales","Inventory Asset","Crane Beach Key Chain - 60123","Crane Beach Key Chain",20
"Crane Beach Luggage Tag",30,"Inventory","Souvenirs:Luggage Tags","40869","No","No",3.38,1.49,"Sales of Product Income","Cost of sales","Inventory Asset","Crane Beach Luggage Tag - 40869","Crane Beach Luggage Tag",20
"Curious Clowns 3D Bookmark",71,"Inventory","Souvenirs:3D Bookmarks","47028-3DB","No","No",6.3,3.55,"Sales of Product Income","Cost of sales","Inventory Asset","Curious Clowns 3D Bookmark - 47028","Curious Clowns 3D Bookmark - 47028",10
"Curious Clowns Magnet",35,"Inventory","Souvenirs:3D Magnets","47028-3DM","No","No",5.81,3.32,"Sales of Product Income","Cost of sales","Inventory Asset","Curious Clowns Magnet - 47028","Curious Clowns Magnet - 47028",10
"Distribution of brochures",0,"Service",,,"No","No",,,"Sales","","",,,
"Dive Flag Patch",24,"Inventory","Souvenirs:Patches","8785","No","No",4.35,2.44,"Sales of Product Income","Cost of sales","Inventory Asset","Dive Flag Patch - 8785","Dive Flag Iron On Patch",0
"Dolphin Pod 3D Bookmark",59,"Inventory","Souvenirs:3D Bookmarks","47029-3DB","No","No",6.3,3.35,"Sales of Product Income","Cost of sales","Inventory Asset","Dolphin Pod 3D Bookmark","Dolphin Pod 3D Bookmark - 47029",10
"Don't Stop The Cook Cookbook",186,"Inventory","Souvenirs:Books","300","No","No",16.02,8.95,"Sales of Product Income","Cost of sales","Inventory Asset","Don't Stop The Cook Cookbook - 300","Don't Stop The Cook Cookbook",20
"Don't Stop The Cook Island Recipes Book",1201,"Inventory","Souvenirs:Books","1320","No","No",5.32,3.17,"Sales of Product Income","Cost of sales","Inventory Asset","Don't Stop The Cook Island Recipes Book - 1320","Don't Stop The Cook Island Recipes Book",200
"Don't Stop The Party",37,"Inventory","Souvenirs:Books","400","No","No",14.56,8.65,"Sales of Product Income","Cost of sales","Inventory Asset","Don't Stop The Party - 400","Don't Stop The Party",20
"Don't Stop The Rum Book",1293,"Inventory","Souvenirs:Books","1509","No","No",5.32,3.15,"Sales of Product Income","Cost of sales","Inventory Asset","Don't Stop The Rum Book - 1509","Don't Stop The Rum Book",300
"Don't Stop The Tropical Drinks Book",1405,"Inventory","Souvenirs:Books","1510","No","No",5.32,3.16,"Sales of Product Income","Cost of sales","Inventory Asset","Don't Stop The Tropical Drinks Book - 1510","Don't Stop The Tropical Drinks Book",300
"Drink Recipe Playing Cards",582,"Inventory","Souvenirs:Playing Cards","Pl Cards 1100","No","No",5.32,2.82,"Sales of Product Income","Cost of sales","Inventory Asset","Drink Recipe Playing Cards - 1100","Drink Recipe Playing Cards",300
"East Coast Key Chain",215,"Inventory","Souvenirs:Key Chains","40863","No","No",4.35,2.49,"Sales of Product Income","Cost of sales","Inventory Asset","East Coast Key Chain - 40863","East Coast Key Chain",50
"Eurostyle Barbados Flag Magnet",186,"Inventory","Souvenirs:Magnets","40844A","No","No",3.87,3.19,"Sales of Product Income","Cost of sales","Inventory Asset","Eurostyle Barbados Flag Magnet - 40844A","Eurostyle Barbados Flag Magnet",40
"Eurostyle Barbados Flag Mini Magnet",113,"Inventory","Souvenirs:Magnets","40844D","No","No",2.41,1.41,"Sales of Product Income","Cost of sales","Inventory Asset","Eurostyle Barbados Flag Mini Magnet - 40844D","Eurostyle Barbados Flag Mini Magnet",20
"Eurostyle Bottom Bay Magnet",73,"Inventory","Souvenirs:Magnets","40837","No","No",3.87,1.76,"Sales of Product Income","Cost of sales","Inventory Asset","Eurostyle Bottom Bay Magnet - 40837","Eurostyle Bottom Bay Magnet",20
"Eurostyle East Coast Magnet",94,"Inventory","Souvenirs:Magnets","40842","No","No",3.87,2.85,"Sales of Product Income","Cost of sales","Inventory Asset","Eurostyle East Coast Magnet - 40842","Eurostyle East Coast Magnet",20
"Eurostyle Miami Beach Magnet",97,"Inventory","Souvenirs:Magnets","40838","No","No",3.87,1.79,"Sales of Product Income","Cost of sales","Inventory Asset","Eurostyle Miami Beach Magnet - 40838","Eurostyle Miami Beach Magnet - 40838",20
"Eurostyle Turtle Magnet",106,"Inventory","Souvenirs:Magnets","44589","No","No",3.87,1.77,"Sales of Product Income","Cost of sales","Inventory Asset","Eurostyle Turtle Magnet - 44589","Eurostyle Turtle Magnet",20
"Eurostyle West Coast Magnet",53,"Inventory","Souvenirs:Magnets","40839","No","No",3.87,1.77,"Sales of Product Income","Cost of sales","Inventory Asset","Eurostyle West Coast Magnet - 40839","West Coast Magnet",20
"Event rental",0,"Service","Plant Rentals","500","No","No",,,"Sales","","",,,
"Famous Pirates Playing Cards",121,"Inventory","Souvenirs:Playing Cards","Pl Cards 1600","No","No",5.32,2.59,"Sales of Product Income","Cost of sales","Inventory Asset","Famous Pirates Playing Cards - 1600","Famous Pirates Playing Cards",100
"Fish Frenzy 3D Bookmark",10,"Inventory","Souvenirs:3D Bookmarks","47066-3DB","No","No",6.3,3.35,"Sales of Product Income","Cost of sales","Inventory Asset","Fish Frenzy 3D Bookmark","Fish Frenzy 3D Bookmark - 47066",10
"Five Colours with Barbados and a Beach Graphic",585,"Inventory","Souvenirs:Pencils and Pens","ND-CLX-BEACH","No","No",2.41,1.15,"Sales of Product Income","Cost of sales","Inventory Asset","Five Colours with Barbados and a Beach Graphic - ND-CLX-BEACH","Five Colours with Barbados and a Beach Graphic",150
